name,address,details_url,image_url
Espetinhos do Paulão,"Rua Álvaro Mata, 466 | Belo Horizonte - MG",https://comidadibuteco.com.br/buteco/espetinhos-do-paulao/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19152839/espetinhodopaulao_vacafaladeira_bh_2025_rodneycosta_unibh-8425-scaled.jpg
Espettinho.com,"Rua Eli Seabra Filho, 510 | Buritis, Belo Horizonte - MG",https://comidadibuteco.com.br/buteco/espetinho-com/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19153114/espettinhocom_mineirimgratinado_bh_2025_rodneycosta_unibh-9129-scaled.jpg
Fogão de Minas,"Avenida Doutor Cristiano Guimarães, 1911 | Planalto, Belo Horizonte - MG",https://comidadibuteco.com.br/buteco/fogao-de-minas/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19153205/fogaodeminas_tropadeelite_bh_2025_rodneycosta_unibh-8509-scaled.jpg
Garagge Vintage,"Avenida Doutor Cristiano Guimarães, 1258 | Planalto, Belo Horizonte - MG",https://comidadibuteco.com.br/buteco/garagge-vintage/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19153255/garaggevintage_baotambem_bh_2025_amandacantanhede_unibh-8958-scaled.jpg
Geraldin da Cida,"Rua Contria, 1459 | Grajaú, Belo Horizonte - MG",https://comidadibuteco.com.br/buteco/geraldin-da-cida/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19153406/geraldimdacida_soumineirouai_bh_2025_rodneycosta_unibh-8364-scaled.jpg
Golden Grill,"Rua Amílcar Cabral, 515 | Milionários, Belo Horizonte - MG",https://comidadibuteco.com.br/buteco/golden-grill/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15045801/goldengrill_costelaodosdeuses_bh_2025_rodneycosta_unibh-8167-scaled.jpg
Iracema Bar,"Rua Almandina, 56 | Belo Horizonte - MG",https://comidadibuteco.com.br/buteco/iracema-bar/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19153541/iracema_harumakidecarnedepanela_bh_2025_fernandaoliveira_unibh-8240-scaled.jpg
Ivo Grill,"Rua Professor Tristão da Cunha, 183 | Belo Horizonte - MG",https://comidadibuteco.com.br/buteco/ivo-grill/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15045738/ivogrill_kafajeste_bh_2025_mylenaizis_unibh-9216-scaled.jpg
Já To Inno,"Rua Benjamim Dias, 379 | Belo Horizonte - MG",https://comidadibuteco.com.br/buteco/3165-revision-v1/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15045650/jatoinno_moderacao_bh_2025_fernandaoliveira_unibh-8097-scaled.jpg
Juzé Bar,"Rua Carlos Sá, 180 | Jardim Atlântico, Belo Horizonte - MG",https://comidadibuteco.com.br/buteco/juze-bar/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19153752/juze_abacaxedanoburacoquente_bh_2025_isaquerodrigues_unibh-8653-scaled.jpg
