full_address;address;name;lat;lng;data;alvara;cdb_idx
AVE CLARA NUNES, 766, CASA C, RENASCENCA, Belo Horizonte, Minas Gerais, Brasil;AVE CLARA NUNES, 766, RENASCENCA, Belo Horizonte, Minas Gerais, Brasil;ANTONIO JOSE DE ABREU;;;10-01-2018;NÃO;-1
RUA MEXICO, 852, nan, JARDIM LEBLON, Belo Horizonte, Minas Gerais, Brasil;RUA MEXICO, 852, JARDIM LEBLON, Belo Horizonte, Minas Gerais, Brasil;CANTINA DA NENE;-19.8273109;-43.9940908;15-01-2018;NÃO;-1
RUA MARIA FRANCISCA DA SILVA, 208, CASA, INDEPENDENCIA, Belo Horizonte, Minas Gerais, Brasil;RUA MARIA FRANCISCA DA SILVA, 208, INDEPENDENCIA, Belo Horizonte, Minas Gerais, Brasil;BAR DO SENHOR ALCIR;;;18-01-2018;NÃO;-1
RUA MARTIM AFONSO DE SOUZA, 231, nan, GLORIA, Belo Horizonte, Minas Gerais, Brasil;RUA MARTIM AFONSO DE SOUZA, 231, GLORIA, Belo Horizonte, Minas Gerais, Brasil;CASEIRICES MARMITEX E CONGELADOS;-19.8998528;-44.009712;19-01-2018;NÃO;-1
RUA DOUTOR CRISTIANO REZENDE, 1584, nan, BONSUCESSO, Belo Horizonte, Minas Gerais, Brasil;RUA DOUTOR CRISTIANO REZENDE, 1584, BONSUCESSO, Belo Horizonte, Minas Gerais, Brasil;BAR DA VOVO;-19.9865324;-43.9885272;31-01-2018;NÃO;-1
AVE JOSE CANDIDO DA SILVEIRA, 3249, CASA FUNDO, IPE, Belo Horizonte, Minas Gerais, Brasil;AVE JOSE CANDIDO DA SILVEIRA, 3249, IPE, Belo Horizonte, Minas Gerais, Brasil;SHELBY BURGUER;;;31-01-2018;NÃO;-1
RUA CARAPINA, 58, nan, VILA MARIA, Belo Horizonte, Minas Gerais, Brasil;RUA CARAPINA, 58, VILA MARIA, Belo Horizonte, Minas Gerais, Brasil;DAYSIANE FERREIRA LOPES 09257627683;-19.8535432;-43.8838711;03-02-2018;NÃO;-1
RUA MARIA BEATRIZ, 997, nan, HAVAI, Belo Horizonte, Minas Gerais, Brasil;RUA MARIA BEATRIZ, 997, HAVAI, Belo Horizonte, Minas Gerais, Brasil;JOAO CARLOS MARTINS NOGUEIRA 70814880649;-19.9549908;-43.9784052;20-04-2011;NÃO;-1
RUA CICERO FERREIRA, 141, nan, SERRA, Belo Horizonte, Minas Gerais, Brasil;RUA CICERO FERREIRA, 141, SERRA, Belo Horizonte, Minas Gerais, Brasil;RESTAURANTE DI CASA;-19.9347241;-43.9238122;12-05-2011;SIM;-1
RUA CRISANTEMO, 250, LOJA 4, CINQUENTENARIO, Belo Horizonte, Minas Gerais, Brasil;RUA CRISANTEMO, 250, CINQUENTENARIO, Belo Horizonte, Minas Gerais, Brasil;POINT DO PALADAR;-19.9570077;-43.9797028;24-04-2011;NÃO;-1
RUA TIZIU, 214, nan, GOIANIA, Belo Horizonte, Minas Gerais, Brasil;RUA TIZIU, 214, GOIANIA, Belo Horizonte, Minas Gerais, Brasil;MARIA APARECIDA BATISTA RAMOS 73503207600;-19.8677692;-43.8988818;05-04-2011;NÃO;-1
